normexam.p;schgend.mixed;schgend.boys;schgend.girls;schavg.p;vr.bottom.25.;vr.mid.50.;vr.top.25.;standLRT.p;sex.F;sex.M;type.Mxd;type.Sngl
1;0.2613242;1;0;0;0.1661752;0;1;0;0.6190592;1;0;1;0
2;0.1340672;1;0;0;0.1661752;0;1;0;0.2058022;1;0;1;0
3;-1.723882;1;0;0;0.1661752;0;1;0;-1.364576;0;1;1;0
4;0.9675862;1;0;0;0.1661752;0;1;0;0.2058022;1;0;1;0
5;0.5443412;1;0;0;0.1661752;0;1;0;0.3711052;1;0;1;0
6;1.7348992;1;0;0;0.1661752;0;1;0;2.1894372;0;1;1;0
7;1.0396082;1;0;0;0.1661752;0;1;0;-1.116621;0;1;1;0
8;-0.129085;1;0;0;0.1661752;0;1;0;-1.03397;0;1;1;0
9;-0.939378;1;0;0;0.1661752;0;1;0;-0.538061;1;0;1;0
10;-1.219486;1;0;0;0.1661752;0;1;0;-1.447227;0;1;1;0
11;2.4086922;1;0;0;0.1661752;0;1;0;2.4373912;0;1;1;0
12;0.6107292;1;0;0;0.1661752;0;1;0;2.1067862;0;1;1;0
13;-1.836687;1;0;0;0.1661752;0;1;0;0.0404992;0;1;1;0
14;-0.129085;1;0;0;0.1661752;0;1;0;1.1976192;0;1;1;0
15;2.2031212;1;0;0;0.1661752;0;1;0;2.5200432;0;1;1;0
16;1.2405332;1;0;0;0.1661752;0;1;0;1.1149682;1;0;1;0
17;1.7348992;1;0;0;0.1661752;0;1;0;1.0323172;1;0;1;0
18;1.3101422;1;0;0;0.1661752;0;1;0;0.7843622;0;1;1;0
19;-0.623051;1;0;0;0.1661752;0;1;0;-1.116621;0;1;1;0
20;1.0396082;1;0;0;0.1661752;0;1;0;-1.199273;1;0;1;0
21;-1.029067;1;0;0;0.1661752;0;1;0;-0.372758;1;0;1;0
22;-1.219486;1;0;0;0.1661752;0;1;0;-1.364576;0;1;1;0
23;0.3280722;1;0;0;0.1661752;0;1;0;-0.951318;1;0;1;0
24;-0.492781;1;0;0;0.1661752;0;1;0;-2.356393;0;1;1;0
25;1.9003352;1;0;0;0.1661752;0;1;0;-0.042152;1;0;1;0
26;0.8965662;1;0;0;0.1661752;0;1;0;0.3711052;0;1;1;0
27;0.0735362;1;0;0;0.1661752;0;1;0;1.1149682;0;1;1;0
28;0.1941492;1;0;0;0.1661752;0;1;0;0.0404992;0;1;1;0
29;1.5061852;1;0;0;0.1661752;0;1;0;0.6190592;1;0;1;0
30;1.9003352;1;0;0;0.1661752;0;1;0;2.0241342;0;1;1;0
31;0.3280722;1;0;0;0.1661752;0;1;0;-0.620713;0;1;1;0
32;0.8965662;1;0;0;0.1661752;0;1;0;-1.116621;0;1;1;0
33;1.6618062;1;0;0;0.1661752;0;1;0;0.2884532;0;1;1;0
34;-0.776109;1;0;0;0.1661752;0;1;0;-0.124804;0;1;1;0
35;0.4026692;1;0;0;0.1661752;0;1;0;0.3711052;0;1;1;0
36;0.9675862;1;0;0;0.1661752;0;1;0;1.0323172;0;1;1;0
37;0.4781942;1;0;0;0.1661752;0;1;0;-0.124804;0;1;1;0
38;0.1340672;1;0;0;0.1661752;0;1;0;0.1231502;0;1;1;0
39;2.3136012;1;0;0;0.1661752;0;1;0;0.6190592;0;1;1;0
40;-0.197611;1;0;0;0.1661752;0;1;0;0.2884532;0;1;1;0
41;0.4781942;1;0;0;0.1661752;0;1;0;-0.290107;0;1;1;0
42;0.8219882;1;0;0;0.1661752;0;1;0;0.7843622;0;1;1;0
43;1.0396082;1;0;0;0.1661752;0;1;0;-0.290107;1;0;1;0
44;-0.555112;1;0;0;0.1661752;0;1;0;-1.03397;1;0;1;0
45;-1.335315;1;0;0;0.1661752;0;1;0;-0.951318;0;1;1;0
46;-0.555112;1;0;0;0.1661752;0;1;0;-2.356393;0;1;1;0
47;1.5061852;1;0;0;0.1661752;0;1;0;0.7843622;1;0;1;0
48;-0.939378;1;0;0;0.1661752;0;1;0;-0.372758;0;1;1;0
49;2.3136012;1;0;0;0.1661752;0;1;0;0.7843622;1;0;1;0
50;-0.062088;1;0;0;0.1661752;0;1;0;-0.703364;1;0;1;0
51;-0.197611;1;0;0;0.1661752;0;1;0;0.0404992;0;1;1;0
52;-0.197611;1;0;0;0.1661752;0;1;0;-0.290107;0;1;1;0
53;2.0397092;1;0;0;0.1661752;0;1;0;1.6108772;1;0;1;0
54;1.6618062;1;0;0;0.1661752;0;1;0;0.3711052;1;0;1;0
55;1.4395322;1;0;0;0.1661752;0;1;0;1.6108772;1;0;1;0
56;0.3280722;1;0;0;0.1661752;0;1;0;0.3711052;1;0;1;0
57;0.0735362;1;0;0;0.1661752;0;1;0;-0.042152;1;0;1;0
58;0.9675862;1;0;0;0.1661752;0;1;0;-0.290107;1;0;1;0
59;-1.029067;1;0;0;0.1661752;0;1;0;-0.620713;1;0;1;0
60;1.7348992;1;0;0;0.1661752;0;1;0;1.6108772;0;1;1;0
61;2.4086922;1;0;0;0.1661752;0;1;0;1.1976192;1;0;1;0
62;-1.526653;1;0;0;0.1661752;0;1;0;-0.620713;0;1;1;0
63;1.4395322;1;0;0;0.1661752;0;1;0;0.8670142;0;1;1;0
64;1.5061852;1;0;0;0.1661752;0;1;0;0.5364082;1;0;1;0
65;1.8138272;1;0;0;0.1661752;0;1;0;0.4537562;0;1;1;0
66;0.7472282;1;0;0;0.1661752;0;1;0;1.2802712;1;0;1;0
