;Security p;DS p;Project p;OS p;Compil p;Network p;LogProg p;GraphTh p;Crypto p;HMI p
09MI0113;12.83;6.67;16.25;12.875;13.25;9.666666667;12.66666667;13.125;14;7.833333333
09MI0242;8;9.5;15;11.5;11.0625;6.5;12;10.75;9.25;9.5
09MI0025;5.5;9.5;16.5;10;11.875;10.33333333;10.33333333;10.375;11.75;11.83333333
09MI0255;9.33;7.67;16;10.6875;11.125;4;6.333333333;11.71875;7.75;7
09MI0379;12.83;5.67;16.25;12;12.625;8.333333333;10.5;10.25;11.75;12.83333333
08MI252;6.67;6.67;15;10;15.25;6.666666667;7.333333333;12.125;10;3.666666667
09MI0525;1.67;6.67;16.25;8;9.125;4.333333333;8.333333333;9.21875;5.25;7.666666667
08MI039;7.67;11.33;16.25;10;11.625;6;9;9.78125;11.25;12.5
09MI0314;12;8.5;16.5;11.25;14.1875;10.16666667;9.666666667;13.75;13;12
09MI0352;11;15.83;16.25;13.375;14.125;13.16666667;14.16666667;14.09375;12.75;12.33333333
09MI0162;9.33;8.92;16;10;10.125;9.5;12.5;9.90625;7.25;10
09MI0129;12.5;11.83;16.25;12.375;13.875;11.83333333;12.5;15.4375;13.25;8.666666667
09MI0307;12.5;10;16.25;14.625;12.5;11.5;12.33333333;12.375;7.75;10.83333333
09MI0324;5.5;7.17;16;6.8125;10.125;3.166666667;6.5;8;2.5;13.33333333
09MI0199;11.67;12.83;16;11.8125;12.5;13.16666667;8.166666667;11.21875;12;5.333333333
09MI0522;12.5;10.83;16;10;11.75;7.833333333;8.666666667;10.25;14.75;7.5
09MI0157;6.33;6.67;16;10.4375;13.375;6.666666667;11.16666667;11.625;8.25;13.66666667
07MI218;7.67;8.17;16;9;12.125;7.166666667;8.333333333;7.75;9.25;9.333333333
09MI0384;7.5;6.67;16;9;12;6.333333333;8.666666667;8.375;8.25;4.5
09MI0335;10.5;8.5;16;10.0625;11.0625;11.33333333;6.666666667;9.625;10.5;9.5
09MI0290;8;7.67;16;11.125;12.1875;8.166666667;11.16666667;11.5;9.5;10.33333333
09MI0321;10.17;6.17;16.25;10.125;10.625;2.333333333;11.33333333;7.625;8.5;5.333333333
08MI011;9;10.42;16;7.125;11.25;6.333333333;11;8.1875;11.75;5
09MI0458;13.5;9.5;16.25;12.125;12.3125;14.5;10.86666667;13.625;12.5;9.166666667
09MI0457;11.83;10.42;16.5;13.0625;15.5;11.66666667;10;10.90625;10.75;14.5
09MI0356;7.83;7.17;15;8.4375;13.75;7.5;11.16666667;11.46875;9.5;10.66666667
09MI0216;9.5;6.67;16.25;8.0625;10.125;8.5;11;10.625;8.75;9.833333333
09MI0281;7.5;6.67;16.5;11.5;10.375;8.333333333;8;9.875;7.25;9.5
09MI0318;5.5;4.67;16;9.125;14.0625;5;9.166666667;12.03125;10;4.333333333
09MI0003;12.33;5.67;16.5;11.875;11.375;8.5;7.333333333;11.46875;12.25;5.166666667
09MI0548;6.5;9.5;16.5;8.5;10.5;3;10.16666667;6.125;7.25;8
09MI0593;8.33;8.5;16.5;8.125;10.875;11.66666667;6.5;7.96875;7.5;6.166666667
09MI0376;10.33;4.67;16;10.6875;11.5;6.333333333;9.333333333;12.1875;10;11.16666667
08MI269;6;5.67;16.5;11.3125;9.875;12.16666667;10.83333333;12.59375;9.75;9.5
08MI163;11.5;10.67;16.5;11.125;13.875;11.5;11.83333333;13.1875;7.5;10.16666667
09MI0359;11.33;11.83;16.5;11.375;14.875;13.16666667;14;15;15;8.833333333
09MI0388;8.67;10.42;16.5;6.9375;12.125;9.166666667;9;10.28125;8;11.83333333
09MI0555;11;8.17;16.5;10.625;14.75;6.5;8.666666667;11.21875;8.5;9
09MI0297;10.67;11.33;16.5;10.8125;13;6.5;8.833333333;10.40625;11.75;8.333333333
09MI0014;10.17;10;16.5;9.125;11;8.5;11.33333333;9.1875;11;10.33333333
09MI0011;5.17;13.83;16;9;6.5;3;9;10.1875;6.5;11.83333333
09MI0377;13.83;10.42;16.5;10.4375;14.625;7.5;8.833333333;10.59375;10;6.5
07MI157;7.67;10;16.5;7.4375;9.125;7.666666667;9;8.6875;9.25;11.16666667
08MI017;12;4;16.5;11.25;10.5;2.666666667;9.666666667;11.9375;6.75;3.166666667
09MI0022;8.17;12.17;16.5;9.1875;12.5;9.333333333;10.83333333;10.46875;7.25;8
09MI0369;7.17;9;16.5;9.1875;10.125;10.33333333;9;11.78125;11;10.5
08MI231;10;8.5;16.5;11.8125;10.625;8.333333333;6.833333333;10.1875;12.25;10.66666667
