gr.K;gr.1;gr.2;gr.3;cltype.small;cltype.reg;cltype.reg.A;hdeg.ASSOC;hdeg.BS.BA;hdeg.MS.MA.MEd;hdeg.MA.;hdeg.Ed.S;hdeg.Ed.D.Ph.D;clad.NOT;clad.APPR;clad.PROB;clad.PEND;clad.1;clad.2;clad.3;exp.p;read.p;math.p;ses.F;ses.N;schtype.inner;schtype.suburb;schtype.rural;schtype.urban;sx.M;sx.F;yrs.0;yrs.1;yrs.2;yrs.3
1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;3;476;602;1;0;1;0;0;0;0;1;1;0;0;0
2;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;12;410;444;0;1;0;1;0;0;0;1;1;0;0;0
3;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;20;507;572;0;1;0;1;0;0;1;0;0;1;0;0
4;0;0;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;15;575;620;0;1;0;1;0;0;1;0;0;0;1;0
5;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;5;610;655;0;1;0;1;0;0;1;0;0;0;0;1
6;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;19;430;484;0;1;0;0;1;0;0;1;1;0;0;0
7;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;495;576;1;0;0;0;1;0;0;1;1;0;0;0
8;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;5;629;592;1;0;0;0;1;0;0;1;0;1;0;0
9;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;9;418;489;1;0;1;0;0;0;0;1;1;0;0;0
10;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;9;524;567;1;0;1;0;0;0;0;1;0;1;0;0
11;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2;627;603;1;0;1;0;0;0;0;1;0;0;1;0
12;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;20;421;459;0;1;0;1;0;0;1;0;1;0;0;0
13;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;16;451;468;0;1;0;1;0;0;1;0;0;1;0;0
14;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;8;451;500;0;1;0;0;1;0;0;1;1;0;0;0
15;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;21;644;624;0;1;0;0;1;0;0;1;0;0;0;1
16;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;14;437;528;1;0;1;0;0;0;0;1;1;0;0;0
17;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;6;455;434;1;0;1;0;0;0;1;0;1;0;0;0
18;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;11;402;439;0;1;0;1;0;0;0;1;1;0;0;0
19;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;5;433;473;1;0;0;1;0;0;1;0;1;0;0;0
20;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;23;544;592;1;0;0;1;0;0;1;0;0;1;0;0
21;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;24;657;645;1;0;0;1;0;0;1;0;0;0;0;1
22;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;11;540;562;0;1;0;0;1;0;0;1;0;1;0;0
23;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;20;400;459;0;1;0;0;1;0;1;0;1;0;0;0
24;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;4;519;518;1;0;0;0;1;0;1;0;0;1;0;0
25;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;14;590;655;0;1;0;0;1;0;1;0;0;0;0;1
26;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;445;484;1;0;0;1;0;0;1;0;0;1;0;0
27;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;520;502;1;0;0;1;0;0;1;0;0;0;1;0
28;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;10;527;528;1;0;0;1;0;0;1;0;0;0;0;1
29;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;6;442;536;0;1;0;0;1;0;1;0;1;0;0;0
30;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;13;527;549;0;1;0;0;1;0;1;0;0;1;0;0
31;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;14;591;563;0;1;0;0;1;0;1;0;0;0;1;0
32;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;18;633;603;0;1;0;0;1;0;1;0;0;0;0;1
33;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;6;434;484;0;1;0;0;1;0;1;0;1;0;0;0
34;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;6;602;599;0;1;0;0;1;0;1;0;0;0;1;0
35;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;15;622;648;0;1;0;0;1;0;1;0;0;0;0;1
36;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;592;622;1;0;1;0;0;0;1;0;0;0;0;1
37;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;10;433;500;1;0;1;0;0;0;1;0;1;0;0;0
38;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;6;453;510;1;0;1;0;0;0;1;0;0;1;0;0
39;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;11;485;484;1;0;0;0;1;0;0;1;1;0;0;0
40;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;1;463;528;0;1;0;1;0;0;0;1;1;0;0;0
