hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,      classical index,         entropic index,     classical simi,       entropic simi
Sepal.Width.2 -> Petal.Length.2, 66.0000000000000000, 54.0000000000000000, 44.0000000000000000, 34.8484848484848513, 41.3518084254106171, 27.3868221453415721, 43.8049644231796265, 0.0000000000000000
Petal.Length.2 -> Sepal.Width.2, 54.0000000000000000, 66.0000000000000000, 36.0000000000000000, 42.5925925925925952, 39.8289036948119772, 28.6768217865956565, 43.8049644231796265, 0.0000000000000000
Sepal.Width.2 -> Sepal.Length.2, 66.0000000000000000, 53.0000000000000000, 44.0000000000000000, 22.7272727272727266, 10.1414084434509277, 5.8107424879773513, 4.2453631758689880, 0.0000000000000000
Sepal.Length.2 -> Sepal.Width.2, 53.0000000000000000, 66.0000000000000000, 35.3333333333333357, 28.3018867924528301, 5.7436394271084605, 3.6037997582998513, 4.2453631758689880, 0.0000000000000000
Sepal.Width.2 -> Petal.Width.2, 66.0000000000000000, 52.0000000000000000, 44.0000000000000000, 31.8181818181818166, 35.0341185804257975, 22.5643321448581347, 34.7147315740585327, 0.0000000000000000
Petal.Width.2 -> Sepal.Width.2, 52.0000000000000000, 66.0000000000000000, 34.6666666666666714, 40.3846153846153868, 32.0670848870378435, 22.7830894412123577, 34.7147315740585327, 0.0000000000000000
Sepal.Width.2 -> Sepal.Length.3, 66.0000000000000000, 51.0000000000000000, 44.0000000000000000, 50.0000000000000000, 94.0970472412537333, 71.4982944083483289, 98.7100362777709961, 0.0000000000000000
Sepal.Length.3 -> Sepal.Width.2, 51.0000000000000000, 66.0000000000000000, 34.0000000000000000, 64.7058823529411740, 97.6129861857689036, 82.4251416700333692, 98.7100362777709961, 0.0000000000000000
Sepal.Width.2 -> Petal.Length.1, 66.0000000000000000, 50.0000000000000000, 44.0000000000000000, 27.2727272727272698, 27.3246765136718750, 16.7682603167479307, 19.6884259581565857, 0.0000000000000000
Petal.Length.1 -> Sepal.Width.2, 50.0000000000000000, 66.0000000000000000, 33.3333333333333286, 36.0000000000000000, 19.4932852329849453, 13.3934258357151617, 19.6884259581565857, 0.0000000000000000
Sepal.Width.2 -> Petal.Width.1, 66.0000000000000000, 50.0000000000000000, 44.0000000000000000, 27.2727272727272698, 27.3246765136718750, 16.7682603167479307, 19.6884259581565857, 0.0000000000000000
Petal.Width.1 -> Sepal.Width.2, 50.0000000000000000, 66.0000000000000000, 33.3333333333333286, 36.0000000000000000, 19.4932852329849453, 13.3934258357151617, 19.6884259581565857, 0.0000000000000000
Sepal.Width.2 -> Petal.Width.3, 66.0000000000000000, 48.0000000000000000, 44.0000000000000000, 40.9090909090909136, 78.6547206617281631, 55.7654029401637885, 89.9634242057800293, 0.0000000000000000
Petal.Width.3 -> Sepal.Width.2, 48.0000000000000000, 66.0000000000000000, 32.0000000000000000, 56.2500000000000000, 85.1305239573903094, 68.6090259937464850, 89.9634242057800293, 0.0000000000000000
Sepal.Width.2 -> Sepal.Width.1, 66.0000000000000000, 47.0000000000000000, 44.0000000000000000, 0.0000000000000000, 0.1063585281372070, 0.0000000000000000, 0.0002716645894907, 0.0000000000000000
Sepal.Width.1 -> Sepal.Width.2, 47.0000000000000000, 66.0000000000000000, 31.3333333333333357, 0.0000000000000000, 0.0094080709539535, 0.0000000000000000, 0.0002716645894907, 0.0000000000000000
Sepal.Width.2 -> Sepal.Length.1, 66.0000000000000000, 46.0000000000000000, 44.0000000000000000, 27.2727272727272698, 37.0271325111389160, 22.9213870465521730, 30.9276998043060303, 0.0000000000000000
Sepal.Length.1 -> Sepal.Width.2, 46.0000000000000000, 66.0000000000000000, 30.6666666666666643, 39.1304347826086953, 28.6683526411364724, 20.4884258136255397, 30.9276998043060303, 0.0000000000000000
Sepal.Width.2 -> Petal.Length.3, 66.0000000000000000, 46.0000000000000000, 44.0000000000000000, 37.8787878787878753, 73.0659835671647073, 50.5697789996512910, 85.4981124401092529, 0.0000000000000000
Petal.Length.3 -> Sepal.Width.2, 46.0000000000000000, 66.0000000000000000, 30.6666666666666643, 54.3478260869565162, 79.6794217991228919, 63.6659221731518201, 85.4981124401092529, 0.0000000000000000
Sepal.Width.2 -> Sepal.Width.3, 66.0000000000000000, 37.0000000000000000, 44.0000000000000000, 0.0000000000000000, 1.0476946830749512, 0.0000000000000000, 0.0027332260287949, 0.0000000000000000
Sepal.Width.3 -> Sepal.Width.2, 37.0000000000000000, 66.0000000000000000, 24.6666666666666679, 0.0000000000000000, 0.0419632781759161, 0.0000000000000000, 0.0027332260287949, 0.0000000000000000
Petal.Length.2 -> Sepal.Length.2, 54.0000000000000000, 53.0000000000000000, 36.0000000000000000, 62.9629629629629619, 99.5542890133798437, 83.7068525022795882, 99.9681830406188965, 0.0000000000000000
Sepal.Length.2 -> Petal.Length.2, 53.0000000000000000, 54.0000000000000000, 35.3333333333333357, 64.1509433962264097, 99.6107187883252720, 84.3648830591361047, 99.9681830406188965, 0.0000000000000000
Petal.Length.2 -> Petal.Width.2, 54.0000000000000000, 52.0000000000000000, 36.0000000000000000, 87.0370370370370381, 99.9999992039950314, 94.8156114813229181, 100.0000000000000000, 0.0000000000000000
Petal.Width.2 -> Petal.Length.2, 52.0000000000000000, 54.0000000000000000, 34.6666666666666714, 90.3846153846153868, 99.9999998598443085, 96.2091034960922116, 100.0000000000000000, 0.0000000000000000
Petal.Length.2 -> Sepal.Length.3, 54.0000000000000000, 51.0000000000000000, 36.0000000000000000, 25.9259259259259238, 20.4982806813768228, 12.8515410809828925, 15.4449060559272766, 0.0000000000000000
Sepal.Length.3 -> Petal.Length.2, 51.0000000000000000, 54.0000000000000000, 34.0000000000000000, 27.4509803921568647, 19.5073310950596657, 12.5020869433640236, 15.4449060559272766, 0.0000000000000000
Petal.Length.2 -> Petal.Length.1, 54.0000000000000000, 50.0000000000000000, 36.0000000000000000, 0.0000000000000000, 0.1349985599517822, 0.0000000000000000, 0.0011052574336645, 0.0000000000000000
Petal.Length.1 -> Petal.Length.2, 50.0000000000000000, 54.0000000000000000, 33.3333333333333286, 0.0000000000000000, 0.0731408596038818, 0.0000000000000000, 0.0011052574336645, 0.0000000000000000
Petal.Length.2 -> Petal.Width.1, 54.0000000000000000, 50.0000000000000000, 36.0000000000000000, 0.0000000000000000, 0.1349985599517822, 0.0000000000000000, 0.0011052574336645, 0.0000000000000000
Petal.Width.1 -> Petal.Length.2, 50.0000000000000000, 54.0000000000000000, 33.3333333333333286, 0.0000000000000000, 0.0731408596038818, 0.0000000000000000, 0.0011052574336645, 0.0000000000000000
Petal.Length.2 -> Petal.Width.3, 54.0000000000000000, 48.0000000000000000, 36.0000000000000000, 12.9629629629629619, 4.2040716959619306, 2.1616571480128437, 0.6699522491544485, 0.0000000000000000
Petal.Width.3 -> Petal.Length.2, 48.0000000000000000, 54.0000000000000000, 32.0000000000000000, 14.5833333333333339, 3.0479042548510416, 1.6386582354581625, 0.6699522491544485, 0.0000000000000000
Petal.Length.2 -> Sepal.Width.1, 54.0000000000000000, 47.0000000000000000, 36.0000000000000000, 55.5555555555555571, 98.5142420263894252, 79.5936389254499375, 99.9263167381286621, 0.0000000000000000
Sepal.Width.1 -> Petal.Length.2, 47.0000000000000000, 54.0000000000000000, 31.3333333333333357, 63.8297872340425556, 99.2996920556941944, 84.5361987438871978, 99.9263167381286621, 0.0000000000000000
Petal.Length.2 -> Sepal.Length.1, 54.0000000000000000, 46.0000000000000000, 36.0000000000000000, 11.1111111111111107, 4.2189657688140869, 2.0865752239502244, 0.4729875829070807, 0.0000000000000000
