hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,      classical index,         entropic index,   implifiance index,  classical simi,       entropic simi
Vif -> Laid, 24.0000000000000000, 21.0000000000000000, 58.5365853658536537, 45.8333333333333286, 28.7979028077989483, 24.9370978791407758, 18.2252390572530061, 35.6177151203155518, 0.0000000000000000
Laid -> Vif, 21.0000000000000000, 24.0000000000000000, 51.2195121951219505, 52.3809523809523867, 25.9924170995981747, 37.5017121622714313, 17.7134148825696940, 35.6177151203155518, 0.0000000000000000
Vif -> Mechant, 24.0000000000000000, 21.0000000000000000, 58.5365853658536537, 50.0000000000000000, 39.0601490037602801, 33.5899271519207687, 26.1210959571991381, 46.6735512018203735, 0.0000000000000000
Mechant -> Vif, 21.0000000000000000, 24.0000000000000000, 51.2195121951219505, 57.1428571428571388, 37.4091227480263484, 48.5370591379049827, 26.9388020010602069, 46.6735512018203735, 0.0000000000000000
Vif -> Craintif, 24.0000000000000000, 20.0000000000000000, 58.5365853658536537, 50.0000000000000000, 45.7468982097616959, 36.5514914088496283, 31.1250428189317034, 53.4083962440490723, 0.0000000000000000
Craintif -> Vif, 20.0000000000000000, 24.0000000000000000, 48.7804878048780495, 60.0000000000000000, 44.8235759571666179, 60.9824832135392185, 33.6505921217859409, 53.4083962440490723, 0.0000000000000000
Vif -> Beau, 24.0000000000000000, 20.0000000000000000, 58.5365853658536537, 50.0000000000000000, 45.7468982097616959, 36.5514914088496283, 31.1250428189317034, 53.4083962440490723, 0.0000000000000000
Beau -> Vif, 20.0000000000000000, 24.0000000000000000, 48.7804878048780495, 60.0000000000000000, 44.8235759571666179, 60.9824832135392185, 33.6505921217859409, 53.4083962440490723, 0.0000000000000000
Vif -> Sournois, 24.0000000000000000, 20.0000000000000000, 58.5365853658536537, 58.3333333333333357, 68.2689333472635980, 59.0908974803542293, 50.7569670798263672, 74.8591065406799316, 0.0000000000000000
Sournois -> Vif, 20.0000000000000000, 24.0000000000000000, 48.7804878048780495, 70.0000000000000000, 72.1052533635089503, 76.5697356415064831, 59.1530794053556122, 74.8591065406799316, 0.0000000000000000
Vif -> Gentil, 24.0000000000000000, 19.0000000000000000, 58.5365853658536537, 33.3333333333333286, 15.5864469365624476, 12.9860208236414749, 8.5585255999764875, 17.4603417515754700, 0.0000000000000000
Gentil -> Vif, 19.0000000000000000, 24.0000000000000000, 46.3414634146341484, 42.1052631578947327, 10.3322237830777102, 22.5423340954997293, 6.4151007680884460, 17.4603417515754700, 0.0000000000000000
Vif -> Discret, 24.0000000000000000, 19.0000000000000000, 58.5365853658536537, 50.0000000000000000, 52.3427262577864099, 39.4713151285226971, 36.1404178824720788, 60.3834986686706543, 0.0000000000000000
