hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,      classical index,         entropic index,   implifiance index,  classical simi,       entropic simi
Beau -> Agressif, 20.0000000000000000, 19.0000000000000000, 48.7804878048780495, 40.0000000000000000, 28.2333940641362631, 28.7627667369702564, 18.4362427318488251, 33.8485419750213623, 0.0000000000000000
Agressif -> Beau, 19.0000000000000000, 20.0000000000000000, 46.3414634146341484, 42.1052631578947327, 27.3154873498196018, 32.7212577214196116, 18.2784020678372165, 33.8485419750213623, 0.0000000000000000
Beau -> Angoissant, 20.0000000000000000, 17.0000000000000000, 48.7804878048780495, 45.0000000000000000, 50.4555182171923420, 43.5334317277280931, 35.4523335903683190, 59.7012400627136230, 0.0000000000000000
Angoissant -> Beau, 17.0000000000000000, 20.0000000000000000, 41.4634146341463392, 52.9411764705882391, 50.5207454815152843, 62.1670006801134818, 38.2251467834790901, 59.7012400627136230, 0.0000000000000000
Beau -> Agile, 20.0000000000000000, 12.0000000000000000, 48.7804878048780495, 35.0000000000000000, 55.0978634322868217, 32.7486961551247546, 36.5243306316490219, 68.2180762290954590, 0.0000000000000000
Agile -> Beau, 12.0000000000000000, 20.0000000000000000, 29.2682926829268268, 58.3333333333333357, 57.7530544852012824, 74.1370831277411497, 47.1551715252995223, 68.2180762290954590, 0.0000000000000000
Beau -> Attirant, 20.0000000000000000, 9.0000000000000000, 48.7804878048780495, 35.0000000000000000, 69.2580221926780979, 34.6573286914686420, 46.7614534944747930, 89.3532156944274902, 0.0000000000000000
Attirant -> Beau, 9.0000000000000000, 20.0000000000000000, 21.9512195121951237, 77.7777777777777857, 83.8395986260305222, 88.1383771279930812, 76.7885823260114080, 89.3532156944274902, 0.0000000000000000
Agressif -> Angoissant, 19.0000000000000000, 17.0000000000000000, 46.3414634146341484, 63.1578947368421026, 86.4510577853959745, 75.9497928963993019, 70.7028047981618926, 92.9024696350097656, 0.0000000000000000
Angoissant -> Agressif, 17.0000000000000000, 19.0000000000000000, 41.4634146341463392, 70.5882352941176521, 89.1516995975532609, 82.4453485549178566, 76.6159636446531493, 92.9024696350097656, 0.0000000000000000
Agressif -> Agile, 19.0000000000000000, 12.0000000000000000, 46.3414634146341484, 36.8421052631578902, 58.4250249984096897, 36.4104418232325742, 39.8288482164069890, 72.9144930839538574, 0.0000000000000000
Agile -> Agressif, 12.0000000000000000, 19.0000000000000000, 29.2682926829268268, 58.3333333333333357, 62.2033363936707246, 74.4553759693645247, 50.9682166528554248, 72.9144930839538574, 0.0000000000000000
Agressif -> Attirant, 19.0000000000000000, 9.0000000000000000, 46.3414634146341484, 15.7894736842105257, 31.9579418740272523, 12.4697854007165585, 16.9399926294619938, 28.3234447240829468, 0.0000000000000000
Attirant -> Agressif, 9.0000000000000000, 19.0000000000000000, 21.9512195121951237, 33.3333333333333286, 21.3301922440036087, 36.3130090753637731, 14.9671386368933366, 28.3234447240829468, 0.0000000000000000
Angoissant -> Agile, 17.0000000000000000, 12.0000000000000000, 41.4634146341463392, 35.2941176470588260, 54.1189274318490874, 35.9668314527792319, 37.0248570056643089, 67.6970064640045166, 0.0000000000000000
Agile -> Angoissant, 12.0000000000000000, 17.0000000000000000, 29.2682926829268268, 50.0000000000000000, 55.3916790324275539, 62.0372546286400564, 43.3463313590105983, 67.6970064640045166, 0.0000000000000000
Angoissant -> Attirant, 17.0000000000000000, 9.0000000000000000, 41.4634146341463392, 23.5294117647058805, 45.6424565989321920, 22.6222208879947075, 27.9043997205348333, 55.5229485034942627, 0.0000000000000000
Attirant -> Angoissant, 9.0000000000000000, 17.0000000000000000, 21.9512195121951237, 44.4444444444444429, 43.1006168525542392, 52.3901143699774110, 33.1950590908349739, 55.5229485034942627, 0.0000000000000000
Agile -> Attirant, 12.0000000000000000, 9.0000000000000000, 29.2682926829268268, 33.3333333333333286, 59.1483294239709991, 36.7005591813625784, 41.8241848315456934, 79.9982428550720215, 0.0000000000000000
Attirant -> Agile, 9.0000000000000000, 12.0000000000000000, 21.9512195121951237, 44.4444444444444429, 61.1160791773762284, 52.9690551647623380, 47.5952011154198829, 79.9982428550720215, 0.0000000000000000
